case_id,recommendation,rubric_score,themes,seed_noted,merge_target,opportunity_type,ri_owner,primary_lens_id,primary_title,top_physician_score,top_physician_name,top_physician_specialty,staffing_feasibility_score,rationale
auto_brown_university_apparatus_assay_cell_viability,tier_a_candidate,8,diagnostic_dx,false,,digital_therapeutic,true,152-916-521-994-058,CELL VIABILITY ASSAY METHODS AND APPARATUS,0,,,0.0,"Strong rubric — confirm PI, company, and dedupe before promotion."
auto_brown_university_biocompatible_delivery_immunoisolatory_implantab,tier_a_candidate,8,neuro_device|oncology_ther|drug_delivery|medical_device_kw,false,,medical_device,true,162-098-979-877-292,IMPLANTABLE BIOCOMPATIBLE IMMUNOISOLATORY VEHICLE FOR DELIVERY OF SELECTED THERAPEUTIC PRODUCTS.,0,,,0.0,"Strong rubric — confirm PI, company, and dedupe before promotion."
auto_brown_university_cells_delivery_encapsulated_implanted_neurotrans,tier_a_candidate,8,neuro_device|drug_delivery,false,,medical_device,true,148-234-033-796-092,"-I(IN VIVO) DELIVERY OF NEUROTRANSMITTERS BY IMPLANTED, ENCAPSULATED CELLS",0,,,0.0,"Strong rubric — confirm PI, company, and dedupe before promotion."
auto_rhode_island_cells_delivery_diseased_environmentally_marking,tier_a_candidate,6,drug_delivery,true,,platform,true,046-853-519-373-676,Selective delivery of molecules into cells or marking of cells in diseased tissue regions using environmentally sensitive transmembrane peptide,0,,,0.0,Flagged in seed curation notes — prioritize human Q&A (Seed Tier A template).
auto_brown_university_antifungal_fungal_infections_nanoparticles_targe,tier_b,7,diagnostic_dx|drug_delivery,false,,platform,true,034-379-863-602-916,Antifungal nanoparticles for targeted treatment of fungal infections,93,LESLIE HUFF,PATHOLOGY,66.7,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_apparatus_detection_model_structure_view,tier_b,7,diagnostic_dx,false,,diagnostic,true,016-682-190-415-073,Methods and apparatus for model-based detection of structure in view data,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_biomarkers_blockade_circulating_inhibition_respo,tier_b,7,diagnostic_dx|oncology_ther,false,,diagnostic,true,100-549-649-740-366,CIRCULATING BIOMARKERS OF RESPONSE TO PD-1/PD-L1 BLOCKADE AND GSK-3 INHIBITION,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_compounds_infections_prevention,tier_b,7,diagnostic_dx,false,,therapeutic,true,155-071-353-278-905,Compounds for the treatment and prevention of infections,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_guru_nanak_artificial_depression_detection_early_electroenc,tier_b,7,diagnostic_dx,false,,diagnostic,true,035-926-779-082-758,ARTIFICIAL INTELLIGENCE (AI) AND MACHINE LEARNING (ML) BASED GRAPHICAL USER INTERFACE (GUI) SYSTEM FOR EARLY DETECTION OF DEPRESSION SYMPTOMS USING FACIAL EXPRESSION RECOGNITION AND ELECTROENCEPHALOGRAM,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_alcohol_disease_induced_liver_prevention_reversa,tier_b,7,neuro_device,false,,platform,true,189-204-217-537-474,"Treatment, prevention, and reversal of alcohol-induced liver disease",0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_anchor_buckle_electrode,tier_b,7,neuro_device|medical_device_kw,false,,medical_device,true,013-014-345-318-583,ELECTRODE BUCKLE ANCHOR DEVICE,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_diagnostics_nanocarriers_processing_their_therap,tier_b,7,diagnostic_dx,false,,diagnostic,true,037-133-184-542-463,NANOCARRIERS AND THEIR PROCESSING FOR DIAGNOSTICS AND THERAPEUTICS,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_human_immunodeficiency_infections_virus,tier_b,7,diagnostic_dx|oncology_ther,false,,platform,true,175-450-758-147-466,Treating human immunodeficiency virus infections,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_united_states_detection_early_events_neurological_prediction,tier_b,7,neuro_device|diagnostic_dx,false,,diagnostic,true,145-990-375-093-885,Methods for prediction and early detection of neurological events,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_univ_brown_active_cell_cultured_delivery_factors_implants_v,tier_b,7,neuro_device|drug_delivery,false,,medical_device,false,021-375-526-096-063,IN VIVO DELIVERY OF ACTIVE FACTORS BY CO-CULTURED CELL IMPLANTS.,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_univ_brown_biological_delivery_factors_implantable,tier_b,7,neuro_device|drug_delivery|medical_device_kw,false,,medical_device,false,096-848-968-492-31X,IMPLANTABLE DELIVERY SYSTEM FOR BIOLOGICAL FACTORS.,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_university_rhode_compounds_delivery_immuno_intracellular_mediated,tier_b,7,neuro_device|oncology_ther|drug_delivery,false,,therapeutic,true,065-455-175-332-736,PHLIP®-MEDIATED INTRACELLULAR DELIVERY OF IMMUNO-STIMULATORY COMPOUNDS,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_ace2_cells_enters_host_induced_infection_prevent,tier_b,6,diagnostic_dx,false,,platform,true,077-960-637-991-633,"METHODS FOR PREVENTING, REVERSING OR TREATING AN INFECTION INDUCED BY A VIRUS THAT ENTERS HOST CELLS VIA ACE2 RECEPTOR",99,SHEETAL KUMAR,HEMATOLOGY/ONCOLOGY,100.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_artifact_brain_deep_period_reconstruction_remova,tier_b,6,neuro_device,false,,platform,true,104-011-395-918-531,PERIOD-BASED ARTIFACT RECONSTRUCTION AND REMOVAL FOR DEEP BRAIN STIMULATION,93,LESLIE HUFF,PATHOLOGY,66.7,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_cancer_differentiation_imipridone_neuroendocrine,tier_b,6,neuro_device|oncology_ther,false,,platform,true,026-594-385-202-505,NEUROENDOCRINE DIFFERENTIATION IN IMIPRIDONE CANCER TREATMENT,93,LI JUAN WANG,PATHOLOGY,66.7,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_cognitive_function_image_improve_mental_neurofee,tier_b,6,neuro_device|pain_digital,false,,platform,true,050-098-183-937-375,MENTAL IMAGE-BASED NEUROFEEDBACK TO IMPROVE COGNITIVE FUNCTION,92,ELENA PUSCASIU,PATHOLOGY,66.7,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_covid_infection_preventing_reversing,tier_b,6,diagnostic_dx,false,,platform,true,100-306-977-206-14X,"METHODS FOR PREVENTING, REVERSING OR TREATING A COVID-19 INFECTION",92,ELENA PUSCASIU,PATHOLOGY,66.7,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_cyclic_disorders_neurological_peptidomimetic,tier_b,6,neuro_device,false,,platform,true,013-366-534-420-404,Cyclic peptidomimetic for the treatment of neurological disorders,92,ELENA PUSCASIU,PATHOLOGY,66.7,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_neurogenesis,tier_b,6,neuro_device,false,,platform,true,107-664-598-396-267,NEUROGENESIS,89,SARA MALEKI,PATHOLOGY,66.7,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_neurological_therapy,tier_b,6,neuro_device,false,,platform,true,194-928-554-083-957,NEUROLOGICAL THERAPY SYSTEM,89,SARA MALEKI,PATHOLOGY,66.7,Promising — enrich as Tier B first or hold for catalog backlog.
auto_biosurfaces_2014_biocomposite_graft_nanofibrous_prosthetic_vascul,tier_b,6,wound_surgical|medical_device_kw,false,,platform,true,097-255-211-802-999,Nanofibrous biocomposite prosthetic vascular graft,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_compounds_disease_indy_neurodegenerative_type_us,tier_b,6,neuro_device,false,,therapeutic,true,102-079-436-606-840,TREATMENT OF NEURODEGENERATIVE DISEASE USING CSA- AND INDY-TYPE COMPOUNDS,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_delivery_drug_localization_prolonged,tier_b,6,drug_delivery,false,,therapeutic,true,187-540-965-219-13X,Methods and systems for prolonged localization of drug delivery,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_general_hospital_brain_deep_detecting_effortful_facilitating_medi,tier_b,6,neuro_device|diagnostic_dx,false,,platform,true,006-363-785-607-938,"Systems, methods and media for detecting and facilitating an effortful mental task by providing real-time deep brain stimulation",0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_industry_foundation_elements_generators_growth_phase_physical_portab,tier_b,6,neuro_device|medical_device_kw,false,,medical_device,false,061-444-242-378-330,PORTABLE PHYSICAL THERAPY DEVICE FOR PROMOTING GROWTH WITH TWO-PHASE ULTRASONIC VIBRATION GENERATORS AND LED ELEMENTS,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_iori_maurizio_aethina_beetle_external_trap_tumida,tier_b,6,diagnostic_dx,false,,platform,true,192-080-134-092-349,EXTERNAL TRAP FOR THE BEETLE AETHINA TUMIDA,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_administering_associated_hepatitis_infections_pr,tier_b,6,diagnostic_dx,false,,platform,true,136-607-428-890-001,Treating hepatitis B virus infections by administering receptor associated protein (RAP),0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_against_antibodies_disease_falciparum_infection,tier_b,6,diagnostic_dx,false,,platform,true,115-977-056-135-780,Antibodies to PfGARP kill Plasmodium falciparum malaria parasites and protect against infection and severe disease,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_androgen_inhibition_receptor_sepsis_shock_treat,tier_b,6,diagnostic_dx,false,,platform,true,157-894-033-483-950,ANDROGEN RECEPTOR INHIBITION TO TREAT SEPSIS AND SHOCK,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_associated_caused_diseases_halogenated_infection,tier_b,6,diagnostic_dx,false,,platform,true,162-305-058-119-701,Methods for treating diseases or infections caused by or associated with H. pylori using a halogenated salicylanilide,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_bacteria_directed_fungal_infection_prevention_pr,tier_b,6,diagnostic_dx,false,,platform,true,092-758-608-786-07X,Probiotic bacteria-directed prevention or treatment of fungal infection,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_cancer_microrna_targeting,tier_b,6,diagnostic_dx|oncology_ther,false,,platform,true,019-560-209-089-591,TARGETING MICRORNA FOR CANCER TREATMENT,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_chondrosarcoma_microrna_using,tier_b,6,diagnostic_dx|oncology_ther,false,,platform,true,154-654-510-817-457,Methods for treating chondrosarcoma using microrna(miR),0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_drain_removal_same_surgical_using,tier_b,6,wound_surgical|medical_device_kw,false,,medical_device,true,081-708-618-950-561,SURGICAL DRAIN REMOVAL DEVICE AND METHODS FOR USING SAME,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_hepatitus_infections_virus,tier_b,6,diagnostic_dx,false,,platform,true,096-758-724-646-002,Treating Hepatitus B Virus Infections,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_samsung_electronic_cathode_electrode_electron_manufacturing_tube,tier_b,6,neuro_device,false,,medical_device,false,006-339-811-076-246,MANUFACTURING METHOD FOR ELECTRODE OF ELECTRON GUN OF CATHODE RAY TUBE,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_univ_brown_biocompatible_delivery_immunoisolatory_implantab,tier_b,6,neuro_device|oncology_ther|drug_delivery|medical_device_kw,false,,medical_device,false,002-495-166-714-215,IMPLANTABLE BIOCOMPATIBLE IMMUNOISOLATORY VEHICLE FOR DELIVERY OF SELECTED THERAPEUTIC PRODUCTS,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_univ_brown_cells_delivery_encapsulated_implanted_neurotrans,tier_b,6,neuro_device|drug_delivery,false,,medical_device,false,143-857-883-329-510,"-i(IN VIVO) DELIVERY OF NEUROTRANSMITTERS BY IMPLANTED, ENCAPSULATED CELLS.",0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_univ_brown_implant_neural,tier_b,6,neuro_device,false,,medical_device,false,047-863-010-470-102,NEURAL IMPLANT SYSTEM.,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_weinzweig_jeffrey_delivery_implant_prosthetic,tier_b,6,neuro_device|drug_delivery|medical_device_kw,false,,medical_device,false,195-232-381-481-308,PROSTHETIC IMPLANT DELIVERY DEVICE,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_yale_university_compounds_cytotoxic_delivery_insertion_peptide_p,tier_b,6,drug_delivery,false,,therapeutic,true,035-474-427-504-289,pH LOW INSERTION PEPTIDE TARGETED DELIVERY OF POTENT CYTOTOXIC COMPOUNDS,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
