queue_index,case_id,title_clean,precedent_rank,precedent_name,validation_status,value_anchor_usd,value_source_url,needs_review,review_reason,precedent_url,primary_link_1,primary_link_2,primary_link_3,search_funding,search_acquisition,search_market_cap,search_press_release
19,auto_rhode_island_antibacterial_antibiofilm_auranofin_catheter_coa,Auranofin antibiofilm catheter coating,3,Frontiers publication (auranofin PU coating),suggested,,,true,status_suggested,https://www.frontiersin.org/journals/cellular-and-infection-microbiology/articles/10.3389/fcimb.2019.00037/full,https://www.frontiersin.org/journals/cellular-and-infection-microbiology/articles/10.3389/fcimb.2019.00037/full,,,https://www.google.com/search?q=Frontiers%20publication%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Frontiers%20publication%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Frontiers%20publication%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Frontiers%20publication%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
20,auto_rhode_island_behavioral_biomarkers_brain_closed_deep_features,Closed-loop DBS with neural/behavioral biomarkers,1,Medtronic Percept (BrainSense),suggested,,,true,status_suggested,https://www.medtronic.com/en-us/healthcare-professionals/specialties/neurology/therapies-procedures/deep-brain-stimulation/product-portfolio/percept-family.html,https://www.medtronic.com/en-us/healthcare-professionals/specialties/neurology/therapies-procedures/deep-brain-stimulation/product-portfolio/percept-family.html,https://www.sec.gov/edgar/search/#/q=Medtronic%20Percept,,https://www.google.com/search?q=Medtronic%20Percept%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Medtronic%20Percept%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Medtronic%20Percept%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Medtronic%20Percept%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
21,auto_rhode_island_behavioral_biomarkers_brain_closed_deep_features,Closed-loop DBS with neural/behavioral biomarkers,3,Newronika (AlphaDBS),suggested,,,true,status_suggested,https://pmc.ncbi.nlm.nih.gov/articles/PMC11524207/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11524207/,https://www.sec.gov/edgar/search/#/q=Newronika,,https://www.google.com/search?q=Newronika%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Newronika%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Newronika%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Newronika%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
22,auto_rhode_island_biomedical_detecting_electrical_electrode_locali,"Besio — epilepsy electrodes, tripolar stimulation & sensors",1,mjn-neuro (EPISERAS / mjn-SERAS),suggested,,,true,status_suggested,https://mjn.cat/en/mjn-seras/,https://mjn.cat/en/mjn-seras/,https://www.sec.gov/edgar/search/#/q=mjn-neuro,,https://www.google.com/search?q=mjn-neuro%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=mjn-neuro%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=mjn-neuro%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=mjn-neuro%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
23,auto_rhode_island_biomedical_detecting_electrical_electrode_locali,"Besio — epilepsy electrodes, tripolar stimulation & sensors",2,Theta Neurotech,estimated,2000000,https://www.thetaneurotech.com/,true,status_estimated,https://www.thetaneurotech.com/,https://www.thetaneurotech.com/,https://www.sec.gov/edgar/search/#/q=Theta%20Neurotech,,https://www.google.com/search?q=Theta%20Neurotech%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Theta%20Neurotech%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Theta%20Neurotech%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Theta%20Neurotech%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
24,auto_rhode_island_biomedical_detecting_electrical_electrode_locali,"Besio — epilepsy electrodes, tripolar stimulation & sensors",3,Precisis (EASEE),suggested,,,true,status_suggested,https://www.precisis.com/,https://www.precisis.com/,https://www.sec.gov/edgar/search/#/q=Precisis,,https://www.google.com/search?q=Precisis%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Precisis%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Precisis%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Precisis%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
25,auto_rhode_island_biomedical_detecting_electrical_electrode_locali,"Besio — epilepsy electrodes, tripolar stimulation & sensors",4,UNEEG Medical,suggested,,,true,status_suggested,https://www.uneeg.com/,https://www.uneeg.com/,https://www.sec.gov/edgar/search/#/q=UNEEG%20Medical,,https://www.google.com/search?q=UNEEG%20Medical%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=UNEEG%20Medical%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=UNEEG%20Medical%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=UNEEG%20Medical%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
26,auto_rhode_island_connective_evaluate_pipeline_reinjury_risk_tissu,MRI pipeline — connective tissue reinjury risk,1,OrthoPred (DeepKnee),suggested,,,true,status_suggested,https://orthopred.com/,https://orthopred.com/,https://www.sec.gov/edgar/search/#/q=OrthoPred,,https://www.google.com/search?q=OrthoPred%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=OrthoPred%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=OrthoPred%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=OrthoPred%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
27,auto_rhode_island_connective_evaluate_pipeline_reinjury_risk_tissu,MRI pipeline — connective tissue reinjury risk,2,AIKESO,suggested,,,true,status_suggested,https://aikeso.com/,https://aikeso.com/,https://www.sec.gov/edgar/search/#/q=AIKESO,,https://www.google.com/search?q=AIKESO%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=AIKESO%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=AIKESO%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=AIKESO%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
28,auto_rhode_island_connective_evaluate_pipeline_reinjury_risk_tissu,MRI pipeline — connective tissue reinjury risk,3,LigaNET (ACL reinjury prediction),suggested,,,true,status_suggested,https://www.medrxiv.org/content/10.1101/2023.07.25.23293102v1,https://www.medrxiv.org/content/10.1101/2023.07.25.23293102v1,,,https://www.google.com/search?q=LigaNET%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=LigaNET%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=LigaNET%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=LigaNET%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
29,auto_rhodes_technologies_compounds_novel_opioid_thereof,Rhodes Tech — novel opioid compounds,1,Rhodes Technologies,suggested,,,true,status_suggested,https://www.rhodestech.com/,https://www.rhodestech.com/,,,https://www.google.com/search?q=Rhodes%20Technologies%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Rhodes%20Technologies%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Rhodes%20Technologies%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Rhodes%20Technologies%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
30,auto_rhodes_technologies_compounds_novel_opioid_thereof,Rhodes Tech — novel opioid compounds,2,Noramco,suggested,,,true,status_suggested,https://www.noramco.com/,https://www.noramco.com/,,,https://www.google.com/search?q=Noramco%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Noramco%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Noramco%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Noramco%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
31,auto_rhodes_technologies_improved_oxycodone_synthesis,Rhodes Tech — improved oxycodone synthesis,1,Rhodes Technologies,suggested,,,true,status_suggested,https://www.rhodestech.com/,https://www.rhodestech.com/,,,https://www.google.com/search?q=Rhodes%20Technologies%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Rhodes%20Technologies%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Rhodes%20Technologies%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Rhodes%20Technologies%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
32,auto_rhodes_technologies_improved_oxycodone_synthesis,Rhodes Tech — improved oxycodone synthesis,2,Noramco,suggested,,,true,status_suggested,https://www.noramco.com/,https://www.noramco.com/,,,https://www.google.com/search?q=Noramco%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Noramco%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Noramco%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Noramco%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
33,auto_united_states_communication_facilitating_individuals_speak_spe,Speech-based communication assistive system,1,Pison,suggested,,,true,status_suggested,https://pison.com/,https://pison.com/,https://www.sec.gov/edgar/search/#/q=Pison,,https://www.google.com/search?q=Pison%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Pison%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Pison%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Pison%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
34,auto_united_states_communication_facilitating_individuals_speak_spe,Speech-based communication assistive system,2,Neuralink (speech/BCI),suggested,1000000000,,true,status_suggested,https://neuralink.com/,https://neuralink.com/,https://www.sec.gov/edgar/search/#/q=Neuralink,,https://www.google.com/search?q=Neuralink%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Neuralink%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Neuralink%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Neuralink%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
35,auto_university_rhode_biomedical_brassylate_copolymers_dioxanone_ethyl,URI — absorbable copolymer (PEBD),1,Tepha (resorbable polymers),suggested,,,true,status_suggested,https://www.tephainc.com/,https://www.tephainc.com/,https://www.sec.gov/edgar/search/#/q=Tepha,,https://www.google.com/search?q=Tepha%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Tepha%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Tepha%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Tepha%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
36,auto_university_rhode_biomedical_brassylate_copolymers_dioxanone_ethyl,URI — absorbable copolymer (PEBD),2,Evonik RESOMER,suggested,,,true,status_suggested,https://medical.evonik.com/,https://medical.evonik.com/,https://www.sec.gov/edgar/search/#/q=Evonik%20RESOMER,,https://www.google.com/search?q=Evonik%20RESOMER%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Evonik%20RESOMER%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Evonik%20RESOMER%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Evonik%20RESOMER%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
37,nanode_ri,NanoDe — Nanopieces / Janus nucleotide delivery,1,Eascra Biotech (Janus base nanoparticles),estimated,500000,https://eascrabiotech.com/,true,status_estimated,https://eascrabiotech.com/,https://eascrabiotech.com/,https://www.sec.gov/edgar/search/#/q=Eascra%20Biotech,,https://www.google.com/search?q=Eascra%20Biotech%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Eascra%20Biotech%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Eascra%20Biotech%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Eascra%20Biotech%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
38,phlip_therapeutics_ri,pHLIP Inc — imaging and pH-targeted delivery,1,pHLIP Inc,estimated,,https://web.uri.edu/research-admin/university-of-rhode-island-professors-yana-reshetnyak-and-oleg-andreev-transferring-technology-to-the-market/,true,status_estimated,https://phlipinc.com/,https://phlipinc.com/,https://web.uri.edu/research-admin/university-of-rhode-island-professors-yana-reshetnyak-and-oleg-andreev-transferring-technology-to-the-market/,,https://www.google.com/search?q=pHLIP%20Inc%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=pHLIP%20Inc%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=pHLIP%20Inc%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=pHLIP%20Inc%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
39,phlip_therapeutics_ri,pHLIP Inc — imaging and pH-targeted delivery,4,Indocyanine green (ICG),suggested,,,true,status_suggested,https://www.fda.gov/,https://www.fda.gov/,https://www.sec.gov/edgar/search/#/q=Indocyanine%20green,,https://www.google.com/search?q=Indocyanine%20green%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Indocyanine%20green%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Indocyanine%20green%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Indocyanine%20green%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
40,theromics_ri,Theromics — albumin thermal accelerant (HeatSYNC),3,Neuwave (Ethicon/J&J),suggested,,,true,status_suggested,https://www.ethicon.com,https://www.ethicon.com,https://www.sec.gov/edgar/search/#/q=Neuwave,,https://www.google.com/search?q=Neuwave%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Neuwave%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Neuwave%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Neuwave%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
